Prognosis,Description,Medical Test,Medications
Fungal infection,A skin or nail infection caused by fungi leading to itching and rash.,"Skin biopsy, KOH test","Antifungals (Clotrimazole, Fluconazole)"
Hepatitis C,A viral infection causing chronic liver inflammation and damage.,"HCV antibody test, PCR test","Antivirals (Sofosbuvir, Ribavirin)"
Hepatitis E,A liver infection transmitted through contaminated water or food.,"HEV RNA test, Liver function test","Supportive care, hydration"
Alcoholic hepatitis,Liver inflammation due to excessive alcohol consumption.,"Liver function test, Ultrasound","Abstinence, corticosteroids (Prednisolone)"
Tuberculosis,"A bacterial infection affecting the lungs, causing persistent cough and weight loss.","Tuberculin skin test, Chest X-ray","Antibiotics (Rifampin, Isoniazid)"
Common Cold,"A viral infection causing a runny nose, sneezing, and sore throat.",Clinical diagnosis,"Antihistamines, Paracetamol"
Pneumonia,"A lung infection leading to cough, fever, and breathing difficulties.","Chest X-ray, Sputum test","Antibiotics (Amoxicillin, Azithromycin)"
Dimorphic hemorrhoids (piles),Swollen blood vessels in the rectum causing pain and bleeding.,"Rectal examination, Proctoscopy","Pain relievers, Sitz bath"
Heart attack,A blockage in heart arteries leading to chest pain and breathlessness.,"ECG, Troponin test","Aspirin, Nitroglycerin, Statins"
Varicose veins,"Swollen and twisted veins, usually in the legs, causing discomfort.",Doppler ultrasound,"Compression stockings, Sclerotherapy"
Hypothyroidism,A condition where the thyroid gland produces insufficient hormones.,TSH blood test,Levothyroxine
Hyperthyroidism,"Overactive thyroid causing rapid heartbeat, weight loss, and anxiety.","TSH, T3, T4 blood test",Antithyroid drugs (Methimazole)
Hypoglycemia,Low blood sugar levels leading to dizziness and confusion.,Blood glucose test,"Glucose tablets, Dextrose IV"
Osteoarthritis,A degenerative joint disease causing pain and stiffness.,"X-ray, MRI","NSAIDs (Ibuprofen), Joint supplements"
Arthritis,Inflammation of joints leading to pain and swelling.,"Rheumatoid factor test, X-ray","NSAIDs, DMARDs (Methotrexate)"
(Vertigo) Positional Vertigo,A sensation of dizziness caused by inner ear issues.,Dix-Hallpike test,"Vestibular rehabilitation, Meclizine"
Acne,A skin condition causing pimples and clogged pores.,Clinical diagnosis,"Retinoids, Benzoyl peroxide"
Urinary tract infection,Bacterial infection of the urinary tract causing painful urination.,Urine culture,"Antibiotics (Ciprofloxacin, Nitrofurantoin)"
Psoriasis,"A chronic skin condition causing red, scaly patches.",Skin biopsy,"Topical steroids, Immunosuppressants"
Hepatitis D,A severe liver infection requiring hepatitis B to develop.,HDV RNA test,Interferon-alpha
Hepatitis B,A viral liver infection that can become chronic.,HBsAg test,"Antivirals (Tenofovir, Entecavir)"
Allergy,"An immune system reaction causing itching, rash, and sneezing.",Allergy skin test,"Antihistamines (Loratadine, Cetirizine)"
Hepatitis A,A short-term liver infection spread through contaminated food.,HAV IgM antibody test,"Supportive care, hydration"
GERD,A digestive disorder causing acid reflux and heartburn.,"Endoscopy, pH monitoring","Antacids, PPIs (Omeprazole)"
Chronic cholestasis,A condition where bile flow from the liver is reduced or blocked.,"Liver biopsy, MRCP","Ursodeoxycholic acid, Vitamin supplements"
Drug Reaction,An allergic response to medication causing rash and fever.,Drug allergy test,"Antihistamines, Corticosteroids"
Peptic ulcer disease,Open sores in the stomach lining causing pain and bloating.,"Endoscopy, H. pylori test","PPIs (Pantoprazole), Antibiotics"
AIDS,A chronic immune deficiency disease caused by HIV.,"HIV antibody test, CD4 count","Antiretrovirals (Tenofovir, Lamivudine)"
Diabetes,A condition causing high blood sugar due to insulin issues.,"Fasting blood sugar, HbA1c","Insulin, Metformin"
Gastroenteritis,Inflammation of the stomach and intestines causing diarrhea and vomiting.,Stool test,"ORS, Antiemetics (Ondansetron)"
Bronchial Asthma,A chronic lung disease causing wheezing and breathlessness.,"Spirometry, Peak flow test","Inhalers (Salbutamol), Corticosteroids"
Hypertension,A condition of persistently high blood pressure.,Blood pressure measurement,"ACE inhibitors, Beta-blockers"
Migraine,A neurological condition causing severe headaches and nausea.,Clinical diagnosis,"Pain relievers (Sumatriptan, NSAIDs)"
Cervical spondylosis,Wear and tear of the spinal discs in the neck causing pain.,"X-ray, MRI","Physiotherapy, Muscle relaxants"
Paralysis (brain hemorrhage),Loss of muscle function due to brain damage.,"CT scan, MRI","Blood thinners, Surgery"
Jaundice,Yellowing of skin and eyes due to excess bilirubin.,"Bilirubin test, Liver function test",Treat underlying cause
Malaria,A mosquito-borne disease causing fever and chills.,Blood smear test,"Antimalarials (Chloroquine, Artemisinin)"
Chickenpox,A viral infection causing an itchy rash and fever.,Clinical diagnosis,"Antivirals (Acyclovir), Calamine lotion"
Dengue,A mosquito-borne viral infection causing fever and body aches.,"Dengue NS1 test, CBC","Supportive care, Fluids, Pain relievers"
Typhoid,A bacterial infection causing prolonged fever and abdominal pain.,"Widal test, Blood culture","Antibiotics (Ceftriaxone, Azithromycin)"
Impetigo,A contagious bacterial skin infection causing red sores.,Skin swab culture,"Antibiotics (Mupirocin, Cephalexin)"
